origin,origin_name,destination_code,destination_name,country_code,currency,price,depart,booking_link
EZE,Buenos Aires,NQZ,"Astana, Kazakhstan",KZ,USD,1262,2026-07-19,https://www.aviasales.com/search/EZE1907NQZ1?marker=741311
EZE,Buenos Aires,HAN,"Hanoi, Vietnam",VN,USD,1263,2026-07-28,https://www.aviasales.com/search/EZE2807HAN1?marker=741311
EZE,Buenos Aires,SHA,"Shanghai, China",CN,USD,1267,2026-07-26,https://www.aviasales.com/search/EZE2607SHA1?marker=741311
EZE,Buenos Aires,ODB,"Cordoba, Spain",ES,USD,1271,2026-07-17,https://www.aviasales.com/search/EZE1707ODB1?marker=741311
EZE,Buenos Aires,HKG,"Hong Kong, Hong Kong",HK,USD,1288,2026-07-17,https://www.aviasales.com/search/EZE1707HKG1?marker=741311
EZE,Buenos Aires,IJK,"Izhevsk, Russia",RU,USD,1305,2026-07-29,https://www.aviasales.com/search/EZE2907IJK1?marker=741311
EZE,Buenos Aires,BUS,"Batumi, Georgia",GE,USD,1321,2026-07-21,https://www.aviasales.com/search/EZE2107BUS1?marker=741311
EZE,Buenos Aires,MSQ,"Minsk, Belarus",BY,USD,1325,2026-07-27,https://www.aviasales.com/search/EZE2707MSQ1?marker=741311
EZE,Buenos Aires,MMK,"Murmansk, Russia",RU,USD,1328,2026-07-29,https://www.aviasales.com/search/EZE2907MMK1?marker=741311
EZE,Buenos Aires,DAD,"Da Nang, Vietnam",VN,USD,1335,2026-07-28,https://www.aviasales.com/search/EZE2807DAD1?marker=741311
EZE,Buenos Aires,TAS,"Tashkent, Uzbekistan",UZ,USD,1335,2026-07-26,https://www.aviasales.com/search/EZE2607TAS1?marker=741311
EZE,Buenos Aires,PQC,"Phu Quoc, Vietnam",VN,USD,1340,2026-07-28,https://www.aviasales.com/search/EZE2807PQC1?marker=741311
EZE,Buenos Aires,NHA,"Nha Trang, Vietnam",VN,USD,1350,2026-07-28,https://www.aviasales.com/search/EZE2807NHA1?marker=741311
EZE,Buenos Aires,TGD,"Podgorica, Montenegro",ME,USD,1379,2026-07-20,https://www.aviasales.com/search/EZE2007TGD1?marker=741311
EZE,Buenos Aires,OMO,"Mostar, Bosnia and Herzegovina",BA,USD,1385,2026-07-19,https://www.aviasales.com/search/EZE1907OMO1?marker=741311
EZE,Buenos Aires,TUN,"Tunis, Tunisia",TN,USD,1398,2026-07-17,https://www.aviasales.com/search/EZE1707TUN1?marker=741311
EZE,Buenos Aires,SIN,"Singapore, Singapore",SG,USD,1433,2026-07-19,https://www.aviasales.com/search/EZE1907SIN1?marker=741311
EZE,Buenos Aires,XMN,"Xiamen, China",CN,USD,1460,2026-07-17,https://www.aviasales.com/search/EZE1707XMN1?marker=741311
EZE,Buenos Aires,DPS,"Denpasar (Bali), Indonesia",ID,USD,1481,2026-07-25,https://www.aviasales.com/search/EZE2507DPS1?marker=741311
EZE,Buenos Aires,SYX,"Sanya, China",CN,USD,1489,2026-07-17,https://www.aviasales.com/search/EZE1707SYX1?marker=741311
EZE,Buenos Aires,KRR,"Krasnodar, Russia",RU,USD,1493,2026-07-31,https://www.aviasales.com/search/EZE3107KRR1?marker=741311
EZE,Buenos Aires,MLE,"Male, Maldives",MV,USD,1497,2026-07-25,https://www.aviasales.com/search/EZE2507MLE1?marker=741311
EZE,Buenos Aires,AER,"Adler/Sochi, Russia",RU,USD,1517,2026-07-24,https://www.aviasales.com/search/EZE2407AER1?marker=741311
EZE,Buenos Aires,HKT,"Phuket, Thailand",TH,USD,1533,2026-07-24,https://www.aviasales.com/search/EZE2407HKT1?marker=741311
EZE,Buenos Aires,CMN,"Casablanca, Morocco",MA,USD,1539,2026-07-17,https://www.aviasales.com/search/EZE1707CMN1?marker=741311
EZE,Buenos Aires,CMB,"Colombo, Sri Lanka",LK,USD,1601,2026-07-17,https://www.aviasales.com/search/EZE1707CMB1?marker=741311
EZE,Buenos Aires,OGL,"Georgetown, Guyana",GY,USD,1626,2026-07-24,https://www.aviasales.com/search/EZE2407OGL1?marker=741311
EZE,Buenos Aires,CAN,"Guangzhou, China",CN,USD,1627,2026-07-17,https://www.aviasales.com/search/EZE1707CAN1?marker=741311
EZE,Buenos Aires,PUS,"Busan, South Korea",KR,USD,1639,2026-07-17,https://www.aviasales.com/search/EZE1707PUS1?marker=741311
EZE,Buenos Aires,LAD,"Luanda, Angola",AO,USD,1649,2026-07-17,https://www.aviasales.com/search/EZE1707LAD1?marker=741311
EZE,Buenos Aires,CKG,"Chongqing, China",CN,USD,1654,2026-07-17,https://www.aviasales.com/search/EZE1707CKG1?marker=741311
EZE,Buenos Aires,SIA,"Xian, China",CN,USD,1675,2026-07-17,https://www.aviasales.com/search/EZE1707SIA1?marker=741311
EZE,Buenos Aires,ALA,"Almaty, Kazakhstan",KZ,USD,1700,2026-07-17,https://www.aviasales.com/search/EZE1707ALA1?marker=741311
EZE,Buenos Aires,OVB,"Novosibirsk, Russia",RU,USD,1724,2026-07-21,https://www.aviasales.com/search/EZE2107OVB1?marker=741311
EZE,Buenos Aires,FOC,"Fuzhou, China",CN,USD,1756,2026-07-17,https://www.aviasales.com/search/EZE1707FOC1?marker=741311
EZE,Buenos Aires,KJA,"Krasnoyarsk, Russia",RU,USD,1836,2026-07-21,https://www.aviasales.com/search/EZE2107KJA1?marker=741311
EZE,Buenos Aires,VVO,"Vladivostok, Russia",RU,USD,1851,2026-07-22,https://www.aviasales.com/search/EZE2207VVO1?marker=741311
EZE,Buenos Aires,WUS,"Wuyishan, China",CN,USD,2452,2026-07-17,https://www.aviasales.com/search/EZE1707WUS1?marker=741311
EZE,Buenos Aires,GRV,"Groznyy, Russia",RU,USD,2653,2026-07-20,https://www.aviasales.com/search/EZE2007GRV1?marker=741311
BOG,Bogota,MED,"Medina, Saudi Arabia",SA,USD,1185,2026-07-17,https://www.aviasales.com/search/BOG1707MED1?marker=741311
BOG,Bogota,CCS,"Caracas, Venezuela",VE,USD,1200,2026-07-21,https://www.aviasales.com/search/BOG2107CCS1?marker=741311
BOG,Bogota,VVO,"Vladivostok, Russia",RU,USD,1225,2026-07-21,https://www.aviasales.com/search/BOG2107VVO1?marker=741311
BOG,Bogota,SHJ,"Sharjah, United Arab Emirates",AE,USD,1290,2026-07-30,https://www.aviasales.com/search/BOG3007SHJ1?marker=741311
BOG,Bogota,KGD,"Kaliningrad, Russia",RU,USD,1373,2026-07-29,https://www.aviasales.com/search/BOG2907KGD1?marker=741311
LIM,Lima,CAN,"Guangzhou, China",CN,USD,1184,2026-07-19,https://www.aviasales.com/search/LIM1907CAN1?marker=741311
LIM,Lima,SHA,"Shanghai, China",CN,USD,1218,2026-07-17,https://www.aviasales.com/search/LIM1707SHA1?marker=741311
LIM,Lima,TAS,"Tashkent, Uzbekistan",UZ,USD,1259,2026-07-25,https://www.aviasales.com/search/LIM2507TAS1?marker=741311
LIM,Lima,CEB,"Cebu City, Philippines",PH,USD,1373,2026-07-23,https://www.aviasales.com/search/LIM2307CEB1?marker=741311
LIM,Lima,PAE,"Everett, United States",US,USD,1410,2026-07-27,https://www.aviasales.com/search/LIM2707PAE1?marker=741311
LIM,Lima,IKT,"Irkutsk, Russia",RU,USD,1417,2026-07-26,https://www.aviasales.com/search/LIM2607IKT1?marker=741311
LIM,Lima,NQZ,"Astana, Kazakhstan",KZ,USD,1457,2026-07-23,https://www.aviasales.com/search/LIM2307NQZ1?marker=741311
LIM,Lima,MSQ,"Minsk, Belarus",BY,USD,1480,2026-07-18,https://www.aviasales.com/search/LIM1807MSQ1?marker=741311
LIM,Lima,CCS,"Caracas, Venezuela",VE,USD,1534,2026-07-26,https://www.aviasales.com/search/LIM2607CCS1?marker=741311
JNB,Johannesburg,YVA,"Moroni, Comoros",KM,USD,616,2026-07-23,https://www.aviasales.com/search/JNB2307YVA1?marker=741311
CMN,Casablanca,SCL,"Santiago, Chile",CL,USD,1233,2026-07-24,https://www.aviasales.com/search/CMN2407SCL1?marker=741311
CMN,Casablanca,LGB,"Long Beach, United States",US,USD,1903,2026-07-21,https://www.aviasales.com/search/CMN2107LGB1?marker=741311
DLM,Dalaman,USM,"Koh Samui, Thailand",TH,USD,1326,2026-07-17,https://www.aviasales.com/search/DLM1707USM1?marker=741311
NBO,Nairobi,BOG,"Bogota, Colombia",CO,USD,1218,2026-07-21,https://www.aviasales.com/search/NBO2107BOG1?marker=741311
NBO,Nairobi,BNE,"Brisbane, Australia",AU,USD,1382,2026-07-17,https://www.aviasales.com/search/NBO1707BNE1?marker=741311
NBO,Nairobi,HAV,"Havana, Cuba",CU,USD,1614,2026-07-21,https://www.aviasales.com/search/NBO2107HAV1?marker=741311
BJV,Bodrum,SAO,"Sao Paulo, Brazil",BR,USD,1182,2026-07-17,https://www.aviasales.com/search/BJV1707SAO1?marker=741311
VCE,Venice,LKA,"Larantuka, Indonesia",ID,USD,1170,2026-07-27,https://www.aviasales.com/search/VCE2707LKA1?marker=741311
VCE,Venice,SWF,"Newburgh, United States",US,USD,1177,2026-07-29,https://www.aviasales.com/search/VCE2907SWF1?marker=741311
VCE,Venice,RIO,"Rio de Janeiro, Brazil",BR,USD,1225,2026-07-24,https://www.aviasales.com/search/VCE2407RIO1?marker=741311
VCE,Venice,FLN,"Florianopolis, Brazil",BR,USD,1269,2026-07-24,https://www.aviasales.com/search/VCE2407FLN1?marker=741311
VCE,Venice,ART,"Watertown, United States",US,USD,1318,2026-07-29,https://www.aviasales.com/search/VCE2907ART1?marker=741311
VCE,Venice,CLO,"Cali, Colombia",CO,USD,1447,2026-07-17,https://www.aviasales.com/search/VCE1707CLO1?marker=741311
NAP,Naples,ONT,"Ontario, United States",US,USD,1392,2026-07-26,https://www.aviasales.com/search/NAP2607ONT1?marker=741311
DBV,Dubrovnik,IKT,"Irkutsk, Russia",RU,USD,1270,2026-07-20,https://www.aviasales.com/search/DBV2007IKT1?marker=741311
SPU,Split,GRO,"Girona, Spain",ES,USD,2636,2026-07-20,https://www.aviasales.com/search/SPU2007GRO1?marker=741311
NCE,Nice,BOG,"Bogota, Colombia",CO,USD,1227,2026-07-17,https://www.aviasales.com/search/NCE1707BOG1?marker=741311
AGP,Malaga,MHT,"Manchester, United States",US,USD,1257,2026-07-17,https://www.aviasales.com/search/AGP1707MHT1?marker=741311
AGP,Malaga,VVO,"Vladivostok, Russia",RU,USD,1365,2026-07-17,https://www.aviasales.com/search/AGP1707VVO1?marker=741311
AGP,Malaga,PRA,"Parana, Argentina",AR,USD,1556,2026-07-18,https://www.aviasales.com/search/AGP1807PRA1?marker=741311
AGP,Malaga,ONT,"Ontario, United States",US,USD,1639,2026-07-31,https://www.aviasales.com/search/AGP3107ONT1?marker=741311
CTA,Catania,YVA,"Moroni, Comoros",KM,USD,831,2026-07-18,https://www.aviasales.com/search/CTA1807YVA1?marker=741311
CTA,Catania,MSQ,"Minsk, Belarus",BY,USD,1435,2026-07-26,https://www.aviasales.com/search/CTA2607MSQ1?marker=741311
OPO,Porto,RIO,"Rio de Janeiro, Brazil",BR,USD,1170,2026-07-17,https://www.aviasales.com/search/OPO1707RIO1?marker=741311
IBZ,Ibiza,VVO,"Vladivostok, Russia",RU,USD,1514,2026-07-17,https://www.aviasales.com/search/IBZ1707VVO1?marker=741311
SKG,Thessaloniki,SWF,"Newburgh, United States",US,USD,1386,2026-07-18,https://www.aviasales.com/search/SKG1807SWF1?marker=741311
FAO,Faro,PGF,"Perpignan, France",FR,USD,3056,2026-07-17,https://www.aviasales.com/search/FAO1707PGF1?marker=741311
RHO,Rhodes,GRV,"Groznyy, Russia",RU,USD,1342,2026-07-30,https://www.aviasales.com/search/RHO3007GRV1?marker=741311
RHO,Rhodes,IGT,"Magas, Russia",RU,USD,1342,2026-07-29,https://www.aviasales.com/search/RHO2907IGT1?marker=741311
RHO,Rhodes,OGZ,"Vladikavkaz, Russia",RU,USD,1400,2026-07-30,https://www.aviasales.com/search/RHO3007OGZ1?marker=741311
RHO,Rhodes,ONT,"Ontario, United States",US,USD,1520,2026-07-29,https://www.aviasales.com/search/RHO2907ONT1?marker=741311
HRG,Hurghada,ASU,"Asuncion, Paraguay",PY,USD,1322,2026-07-22,https://www.aviasales.com/search/HRG2207ASU1?marker=741311
HRG,Hurghada,CUE,"Cuenca, Ecuador",EC,USD,1385,2026-07-31,https://www.aviasales.com/search/HRG3107CUE1?marker=741311
