date,code,name,origin,price,benchmark,savings_pct,airline,depart,return,booking_link,confirmed
2026-08-14,SCU,"Santiago, Cuba",MIA,506,775,35,AA,2026-09-12,2026-09-21,https://www.aviasales.com/search/MIA1209SCU21091?t=AA17892023401789208100000096MIASCU17899893001789995300000100SCUMIA_77fb010dc66b2d600f5e2d17e4a5340f_41357&search_date=10082026&expected_price_uuid=019fe9da-504d-8040-aa2e-8244c87e18f8&static_fare_key=TY%7CP0%7CH1%7CL0%7CCH0%7CR0%7CTBC0&itinerary_key=yTpJBnZoqgcJFTf0LUL9gA&expected_price_source=share&expected_price_currency=usd&expected_price=506&marker=741311,
2026-08-14,ZRH,"Zurich, Switzerland",JFK,353,538,34,TP,2026-10-27,2026-11-11,https://www.aviasales.com/search/JFK2710ZRH11111?t=TP17931420001793207400000790JFKLISZRH17943774001794427500001195ZRHLISJFK_d1d2e3cc53c0f14d92c2d9e0aed38f1f_29309&search_date=14082026&expected_price_uuid=019ffe83-9068-8040-651f-c6606f070986&static_fare_key=TY%7CP0%7CH1%7CL0%7CCH0%7CR0%7CTBC0&itinerary_key=oTQy-v0RJRdn67_n6VTFUw&origin_airports=0&destination_airports=1&expected_price_source=share&expected_price_currency=usd&expected_price=353&marker=741311,
2026-08-14,FOC,"Fuzhou, China",SFO,578,877,34,AS,2027-02-08,2027-03-04,https://www.aviasales.com/search/SFO0802FOC04031?t=MF18021252001802337600002580SFOLAXXMNFOC18041886001804204140001219FOCXMNLAXSFO_254cf3acddff69459c20b791a2312ebf_47648&search_date=12082026&expected_price_uuid=019ff40d-bb9c-8040-aa22-d5078e716b10&static_fare_key=TY%7CP0%7CH1%7CL0%7CCH0%7CR0%7CTBC0&itinerary_key=HMKrDQDirsn3aasZ4c7jAQ&expected_price_source=share&expected_price_currency=usd&expected_price=578&marker=741311,
2026-08-14,SJJ,"Sarajevo, Bosnia and Herzegovina",MIA,450,683,34,TK,2026-09-15,2026-09-29,https://www.aviasales.com/search/MIA1509SJJ29091?t=TK17895117001789588500000920MIAISTSJJ17907147001790752800000995SJJISTMIA_89c8f4bf4c7f00463eec84524df7966e_37790&search_date=13082026&expected_price_uuid=019ffb61-9c5f-8040-6865-315795a6d925&static_fare_key=TY%7CP0%7CH1%7CL0%7CCH0%7CR0%7CTBC0&itinerary_key=XsFdOY9TMiY_m2nO5v4fzQ&expected_price_source=share&expected_price_currency=usd&expected_price=450&marker=741311,
2026-08-14,HOG,"Holguin, Cuba",MIA,596,422,-41,AA,2026-10-19,2026-10-28,https://www.aviasales.com/search/MIA1910HOG28101?t=AA17924129401792418400000091MIAHOG17931996001793205360000096HOGMIA_2a1bc886fab1b54a6ec68a5e75741ade_49066&search_date=09082026&expected_price_uuid=019fe428-dd44-8040-65b8-dbed0c50337e&static_fare_key=TY%7CP0%7CH1%7CL1_1_23%7CCH0%7CR0%7CTBC1&itinerary_key=kPRJVLpcCQS4OTgyt3nogg&expected_price_source=share&expected_price_currency=usd&expected_price=596&marker=741311,
2026-08-14,UTP,"Rayong, Thailand",LAX,1120,1681,33,CX,2026-09-15,2026-09-30,https://www.aviasales.com/search/LAX1509UTP30091?t=CX17894784001789663800002250LAXHKGHKTUTP17907732001790805600001380UTPHKTHKGLAX_5aca88c648d4c1645454bfe0e7ea814d_92342&search_date=11082026&expected_price_uuid=019ff151-b412-8040-a754-3abf71c2a359&static_fare_key=TY%7CP0%7CH1%7CL0%7CCH0%7CR0%7CTBC0&itinerary_key=U7gqgY-diLKtKskBnGgAng&expected_price_source=share&expected_price_currency=usd&expected_price=1120&marker=741311,
2026-08-14,KGL,"Kigali, Rwanda",JFK,1092,976,-12,QR,2026-11-12,2026-12-11,https://www.aviasales.com/search/JFK1211KGL11121?t=QR17944464001794552900001355JFKDOHKGL17970312001797112800001780KGLDOHBCNJFK_945f4639da1d3e2ac393d8785f5bf1ab_89846&search_date=08082026&expected_price_uuid=019fe19b-e206-8040-a4da-181d7f890edd&static_fare_key=TY%7CP0%7CH1%7CL1_2_0%7CCH0%7CR0%7CTBC1&itinerary_key=aMZdd4YHeZoNkSp1HwGlFQ&origin_airports=0&destination_airports=1&expected_price_source=share&expected_price_currency=usd&expected_price=1092&marker=741311,
2026-08-14,GND,Grenada,JFK,489,465,-5,B6,2026-10-24,2026-11-01,https://www.aviasales.com/search/JFK2410GND01111?t=B617928324001792850220000297JFKGND17935518001793566860000311GNDJFK_a12dfb79895ea12495a25a27b8744f1f_40304&search_date=11082026&expected_price_uuid=019ff0de-14a4-8040-6ef5-29017701e30f&static_fare_key=TY%7CP0%7CH0%7CL0%7CCH1%7CR0%7CTBC0&itinerary_key=AkEae-E6cGcfHmmVqVKVFA&origin_airports=0&destination_airports=1&expected_price_source=share&expected_price_currency=usd&expected_price=489&marker=741311,
2026-08-14,HAN,"Hanoi, Vietnam",SFO,423,623,32,UA,2026-10-02,2026-10-30,https://www.aviasales.com/search/SFO0210HAN30101?t=UA17909814001791152100002005SFOLAXNRTHAN17933199001793355300001430HANNRTSFO_0207684302edf0adec864356b034f7f1_35519&search_date=13082026&expected_price_uuid=019ffbb2-79c8-8040-2c48-6fc635d8e33a&static_fare_key=TY%7CP0%7CH0%7CL0%7CCH0%7CR0%7CTBC0&itinerary_key=8VsOAOWScBU1Hv2CMvIAJg&expected_price_source=share&expected_price_currency=usd&expected_price=423&marker=741311,
2026-08-14,ZIH,"Ixtapa, Mexico",IAH,386,571,32,Y4,2026-08-27,2026-09-03,https://www.aviasales.com/search/IAH2708ZIH03091?t=Y417878706401787917260000837IAHPBCGDLZIH17884346401788472800000576ZIHNLUMTYIAH_06944e5ba4aa81d8f39cdce947a4204d_31755&search_date=08082026&expected_price_uuid=019fe155-908c-8040-6bd5-c07dd6f71f3c&static_fare_key=TY%7CP0%7CH0%7CL0%7CCH0%7CR0%7CTBC0&itinerary_key=mzqFluAk7wGPWFngJPPo0Q&origin_airports=0&destination_airports=1&expected_price_source=share&expected_price_currency=usd&expected_price=386&marker=741311,
2026-08-14,CYB,"Cayman Brac, Cayman Islands",LGA,690,1014,32,AA,2026-12-06,2026-12-11,https://www.aviasales.com/search/LGA0612CYB11121?t=AA17965368001796630400001560LGAMIAGCMLYBCYB17969865001797028740000704CYBGCMMIALGA_1dcd27b943d0dddb03c7d55d6a288394_56903&search_date=12082026&expected_price_uuid=019ff430-0c73-8030-e7e4-def8e5b56afb&static_fare_key=TY%7CP0%7CH1%7CL0%7CCH0%7CR0%7CTBC0&itinerary_key=TALg_3HZuXle1s5OHOPWeQ&origin_airports=0&destination_airports=1&expected_price_source=share&expected_price_currency=usd&expected_price=690&marker=741311,
2026-08-14,YXU,"London, Canada",MIA,427,624,32,AC,2026-11-25,2026-12-16,https://www.aviasales.com/search/MIA2511YXU16121?t=AC17955912001795618020000447MIAYYZYXU17973990001797419340000339YXUYYZMIA_b5af41388228ea6a1cdaee29b9ccf797_35359&search_date=13082026&expected_price_uuid=019ff9a0-e270-8030-68a0-11001cacd737&static_fare_key=TY%7CP0%7CH0%7CL0%7CCH0%7CR0%7CTBC0&itinerary_key=CnQ5X-vxss-p65iieJHjbA&expected_price_source=share&expected_price_currency=usd&expected_price=427&marker=741311,
2026-08-14,CTU,"Chengdu, China",DCA,1453,1225,-19,CX,2027-02-12,2027-02-15,https://www.aviasales.com/search/DCA1202CTU15021?t=AA18024123001802556600001625DCAJFKHKGCTU18026793001802721540001484CTUHKGORDDCA_9d9b491e1973325866d03a53abb4d01b_118597&search_date=09082026&expected_price_uuid=019fe5f4-1070-8040-a6da-3d702735678b&static_fare_key=TY%7CP0%7CH1%7CL1_1_23%7CCH0%7CR1%7CTBC1&itinerary_key=tf3Avp7dZxnZaTazZG8Zmg&origin_airports=0&destination_airports=1&expected_price_source=share&expected_price_currency=usd&expected_price=1453&marker=741311,
